CardID,Name,Note,Category,Type,Tier,BestAgainst,MaxStacks,Duration,Chance,SpatialLength,BaseCooldown,MaxLevel,Color,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,BonusTypeA,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,BonusTypeA Scaling,BonusTypeB,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,BonusTypeC,BonusAmountC,BonusTypeD,BonusAmountD,BonusTypeE,BonusAmountE,BonusTypeF,BonusAmountF,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,CHD1,CHD2,CHD3,CHD4,CHD5,CHD6,CHD7,CHD8,CHD9,CHD10,CHC1,CHC2,CHC3,CHC4,CHC5,CHC6,CHC7,CHC8,CHC9,CHC10
MoonBeam,Moon Beam,"Burst, bonus vs Chest",Burst,Basic,1,Torso,0,0,0.12,0,0,10,#00D1F0,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,MoonBeamBurst,4.350,4.532,4.805,5.169,5.625,6.171,6.808,7.537,8.356,9.266,0.02093,MoonBeamChestMult,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,None,0,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,6.53E+00,8.52E+00,1.05E+01,1.25E+01,1.45E+01,1.65E+01,1.85E+01,2.05E+01,2.25E+01,2.44E+01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01
Fragmentize,Fragmentize,"Burst, bonus vs Armor",Burst,Basic,2,Armor,0,0,0.12,0,0,10,#CAFBFB,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,FragmentizeBurst,4.180,4.355,4.617,4.967,5.405,5.930,6.542,7.242,8.029,8.904,0.02093,FragmentizeArmorMult,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,None,0,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,6.27E+00,8.18E+00,1.01E+01,1.20E+01,1.39E+01,1.58E+01,1.77E+01,1.97E+01,2.16E+01,2.35E+01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01
SkullBash,Skull Bash,"Burst, bonus vs Head",Burst,Basic,1,Head,0,0,0.12,0,0,10,#97C0CA,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,SkullBashBurst,4.350,4.532,4.805,5.169,5.625,6.171,6.808,7.537,8.356,9.266,0.02093,SkullBashHeadMult,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,None,0,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,6.53E+00,8.52E+00,1.05E+01,1.25E+01,1.45E+01,1.65E+01,1.85E+01,2.05E+01,2.25E+01,2.44E+01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01
RazorWind,Razor Wind,"Burst, bonus vs Body",Burst,Basic,1,Body,0,0,0.12,0,0,10,#D0E7F0,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,RazorWindBurst,4.180,4.355,4.617,4.967,5.405,5.930,6.542,7.242,8.029,8.904,0.02093,RazorWindBodyMult,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,None,0,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,6.27E+00,8.18E+00,1.01E+01,1.20E+01,1.39E+01,1.58E+01,1.77E+01,1.97E+01,2.16E+01,2.35E+01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01,1.20E-01
WhipOfLightning,Whip Of Lightning,"Burst, more chance based on Affliction part count",Burst,Basic,2,-,0,0,0.02,0,0,10,#C28CF0,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,WhipOfLightningBurst,9.037,9.415,9.983,10.739,11.685,12.820,14.144,15.657,17.359,19.251,0.02093,WhipOfLightningChance,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,None,0,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,9.04E+00,1.18E+01,1.46E+01,1.73E+01,2.01E+01,2.28E+01,2.56E+01,2.83E+01,3.11E+01,3.39E+01,2.00E-02,2.00E-02,2.00E-02,2.00E-02,2.00E-02,2.00E-02,2.00E-02,2.00E-02,2.00E-02,2.00E-02
BurstCount,Burst Count,"Burst, dmg increases with Burst Count",Burst,Basic,1,-,0,0,0.05,0,0,10,#FFB78B,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,BurstCountDamage,4.900,5.105,5.413,5.823,6.336,6.951,7.669,8.489,9.413,10.438,0.02093,BurstCountBonus,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,None,0,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,1.96E+01,2.62E+01,3.31E+01,4.04E+01,4.79E+01,5.57E+01,6.38E+01,7.22E+01,8.09E+01,8.99E+01,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02
Purify,Purify,"Burst, consumes all affliction stacks on part and burst damage is increased for each consumed affliction",Burst,Basic,2,-,0,0,0.05,0,0,10,#FF446D,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,PurifyDamage,12.000,12.502,13.256,14.260,15.516,17.023,18.781,20.791,23.051,25.563,0.02093,PurifyBonus,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,None,0,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,3.00E+01,3.93E+01,4.87E+01,5.81E+01,6.77E+01,7.73E+01,8.70E+01,9.67E+01,1.07E+02,1.16E+02,3.00E-01,3.02E-01,3.04E-01,3.06E-01,3.08E-01,3.10E-01,3.12E-01,3.14E-01,3.16E-01,3.18E-01
BurningAttack,Inferno Sword,Chance to apply burning affliction,Affliction,Basic,1,-,3,6,0.05,0,0,10,#ED8718,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,BurningDamageRate,0.860,0.896,0.950,1.022,1.112,1.220,1.346,1.490,1.652,1.832,0.02093,BurningPartChance,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,None,0,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,8.20E-01,1.07E+00,1.32E+00,1.57E+00,1.82E+00,2.07E+00,2.32E+00,2.57E+00,2.82E+00,3.07E+00,2.90E-01,2.98E-01,3.06E-01,3.14E-01,3.22E-01,3.30E-01,3.38E-01,3.46E-01,3.54E-01,3.62E-01
PoisonAttack,Acid Blade,Chance to apply acid affliction,Affliction,Basic,1,-,15,1.5,0.25,0,0,10,#00FD0A,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,PoisonDamageRate,0.648,0.675,0.716,0.770,0.838,0.919,1.014,1.123,1.245,1.380,0.02093,None,0,0,0,0,0,0,0,0,0,0,None,0,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,2.59E+00,3.38E+00,4.17E+00,4.96E+00,5.76E+00,6.55E+00,7.34E+00,8.13E+00,8.92E+00,9.71E+00,2.50E-01,2.50E-01,2.50E-01,2.50E-01,2.50E-01,2.50E-01,2.50E-01,2.50E-01,2.50E-01,2.50E-01
DecayingAttack,Decaying Strike,Chance to apply decay affliction,Affliction,Basic,2,-,3,6,0.1,0,0,10,#C71FB7,1,3,5,10,25,50,100,200,400,600,5,15,25,50,125,250,500,1000,2000,3000,DecayPercentRate,1.737,1.810,1.919,2.064,2.246,2.464,2.719,3.009,3.337,3.700,0.02093,None,0,0,0,0,0,0,0,0,0,0,DecayDamageExpo,2,None,0,None,0,None,0,0.75,0.781395,0.8284875,0.8912775,0.969765,1.06395,1.1738325,1.2994125,1.44069,1.597665,1.74E+00,2.27E+00,2.80E+00,3.33E+00,3.86E+00,4.39E+00,4.92E+00,5.45E+00,5.98E+00,6.51E+00,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
