TierID,LevelID,AreaID,EnemyIDs,TicketCost,TicketClanReward,XPClanReward,XPPlayerReward,DustPlayerReward,CardPlayerReward,ScrollPlayerReward,FortuneScrollPlayerReward,AttacksPerReset,BaseHP,TitanCount,HasArmor,AreaBonuses,EnemyBonuses,TotalHP,HP Ratio,ClanXP/Cost
1,1,Area1,"Enemy1,Enemy2",200,80,11,25,320,3,0,0,3,1.15E+06,3,FALSE,0,0,3.44E+06,0.400,0.055
1,2,Area2,"Enemy1,Enemy3",240,96,14,30,480,6,0,0,3,1.71E+06,4,FALSE,0,0,6.82E+06,0.480,0.058
1,3,Area3,"Enemy2,Enemy3",280,112,16,35,560,9,0,0,3,2.81E+06,5,FALSE,0,0,1.41E+07,0.560,0.057
1,4,Area2,"Enemy1,Enemy2",320,128,19,40,580,12,1,0,3,3.74E+06,6,FALSE,0,0,2.24E+07,0.640,0.059
1,5,Area3,"Enemy1,Enemy3",360,144,23,45,700,15,1,0,3,9.20E+06,4,FALSE,0,0,3.68E+07,0.720,0.064
1,6,Area1,"Enemy1,Enemy2",400,160,27,50,820,18,1,0,3,1.04E+07,5,FALSE,0,0,5.18E+07,0.800,0.068
1,7,Area3,"Enemy2,Enemy3",425,170,34,55,840,21,2,0,3,2.19E+07,3,FALSE,0,0,6.57E+07,0.850,0.080
1,8,Area2,"Enemy1,Enemy3",450,180,37,60,900,24,2,0,3,1.95E+07,4,FALSE,0,0,7.80E+07,0.900,0.082
1,9,Area1,"Enemy1,Enemy2",475,190,42,65,980,27,2,0,3,1.15E+07,8,FALSE,0,0,9.17E+07,0.950,0.088
1,10,AreaSpecial1,"Enemy1,Enemy2,Enemy3",500,200,46,70,1000,30,3,0,3,1.34E+07,8,FALSE,0,0,1.07E+08,1.000,0.092
2,1,Area1,"Enemy1,Enemy2,Enemy3",500,200,58,85,1200,40,2,1,4,2.68E+07,4,TRUE,0,0,1.07E+08,0.000,0.116
2,2,Area4,"Enemy2,Enemy3,Enemy6",500,200,63,90,1212,41,2,1,4,2.30E+07,5,TRUE,0,0,1.15E+08,0.075,0.126
2,3,Area3,"Enemy1,Enemy3,Enemy6",500,200,65,95,1224,42,2,1,4,3.09E+07,4,TRUE,0,0,1.24E+08,0.075,0.130
2,4,Area2,"Enemy2,Enemy4,Enemy6",500,200,67,100,1236,42,2,1,4,2.84E+07,5,TRUE,0,0,1.42E+08,0.150,0.134
2,5,Area4,"Enemy2,Enemy3,Enemy4",500,200,69,105,1248,43,2,1,4,3.06E+07,5,TRUE,0,0,1.53E+08,0.075,0.138
2,6,Area1,"Enemy1,Enemy3,Enemy6",500,200,71,110,1260,44,2,1,4,2.74E+07,6,TRUE,0,0,1.64E+08,0.075,0.142
2,7,Area3,"Enemy1,Enemy2,Enemy4",500,200,73,115,1272,45,3,1,4,3.05E+07,7,TRUE,0,0,2.14E+08,0.300,0.146
2,8,Area4,"Enemy2,Enemy4,Enemy6",500,200,75,120,1284,46,3,1,4,2.75E+07,8,TRUE,0,0,2.20E+08,0.030,0.150
2,9,Area1,"Enemy1,Enemy3,Enemy4",500,200,77,125,1296,46,3,1,4,3.24E+07,7,TRUE,0,0,2.27E+08,0.030,0.154
2,10,AreaSpecial1,"Enemy1,Enemy4,Enemy5",500,200,80,130,1308,47,3,1,4,5.84E+07,4,TRUE,0,0,2.33E+08,0.030,0.160
2,11,Area3,"Enemy2,Enemy3,Enemy6",500,200,82,135,1320,48,3,1,4,3.53E+07,7,TRUE,0,0,2.47E+08,0.060,0.164
2,12,Area4,"Enemy1,Enemy2,Enemy3",500,200,85,140,1332,49,3,1,4,6.37E+07,4,TRUE,0,0,2.55E+08,0.030,0.170
2,13,Area3,"Enemy4,Enemy5,Enemy6",500,200,87,145,1344,50,4,1,4,8.28E+07,4,TRUE,0,0,3.31E+08,0.300,0.174
2,14,Area4,"Enemy1,Enemy5,Enemy6",500,200,90,150,1356,50,4,1,4,6.83E+07,5,TRUE,0,0,3.41E+08,0.030,0.180
2,15,Area3,"Enemy2,Enemy4,Enemy5",500,200,93,155,1368,51,4,1,4,6.03E+07,6,TRUE,0,0,3.62E+08,0.060,0.186
2,16,Area1,"Enemy1,Enemy3,Enemy6",500,200,95,160,1380,52,4,1,4,7.45E+07,5,TRUE,0,0,3.73E+08,0.030,0.190
2,17,Area2,"Enemy1,Enemy2,Enemy5",500,200,98,165,1392,53,4,1,4,7.68E+07,5,TRUE,0,0,3.84E+08,0.030,0.196
2,18,Area4,"Enemy3,Enemy4,Enemy5",500,200,101,170,1404,54,4,1,4,1.32E+08,3,TRUE,0,0,3.95E+08,0.030,0.202
2,19,Area2,"Enemy4,Enemy5,Enemy6",500,200,104,175,1416,54,4,1,4,8.14E+07,5,TRUE,0,0,4.07E+08,0.030,0.208
2,20,AreaSpecial1,"Enemy1,Enemy2,Enemy4",500,200,107,180,1428,55,5,1,4,6.98E+07,7,TRUE,0,0,4.89E+08,0.200,0.214
